"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2019-03-20 17:22:34","2018-01-05 08:36:27"
"03/20/2019","16:00","461030020","Credit Union","PM10","UG/M3",127,"South Dakota",87,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790056","MILWAUKEE COLLEGE AV","PM25","UG/M3",23.1,"Wisconsin DNR",74,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460110003","Research Farm","OZONE","PPB",61,"South Dakota",71,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551330027","WAUKESHA - CLEVELAND","PM25","UG/M3",21,"Wisconsin DNR",70,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790026","MILWAUKEE SER DNR ","PM25","UG/M3",20.7,"Wisconsin DNR",69,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550590019","CHIWAUKEE","PM25","UG/M3",18.2,"Wisconsin DNR",64,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790058","Milwaukee College Av","PM25","UG/M3",18,"Wisconsin DNR",63,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271095008","Rochester","PM25","UG/M3",18,"Minnesota Pollution Control Agency",63,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550270001","Horicon Wildlife Are","PM25","UG/M3",15.8,"Wisconsin DNR",59,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550870009","APPLETON AAL","PM25","UG/M3",15,"Wisconsin DNR",57,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550350014","Eau Claire","PM25","UG/M3",14.2,"Wisconsin DNR",55,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191630017","Buffalo","PM10","UG/M3",62,"Iowa DNR",54,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550250041","MADISON EAST","PM25","UG/M3",13.1,"Wisconsin DNR",53,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551198001","PERKINSTOWN","PM25","UG/M3",12.4,"Wisconsin DNR",52,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","190450019","Clinton, Chancy Park","PM25","UG/M3",12,"Iowa DNR",50,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460330132","WIND CAVE","OZONE","PPB",54,"South Dakota",50,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460710001","Badlands","OZONE","PPB",54,"South Dakota",50,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380171004","Fargo NW","OZONE","PPB",53,"North Dakota Health",49,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381010003","RYDER","OZONE","PPB",53,"North Dakota Health",49,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550030010","BAD RIVER TRIBAL SCH","OZONE","PPB",53,"Wisconsin DNR",49,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270834210","Marshall","OZONE","PPB",52,"Minnesota Pollution Control Agency",48,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271636016","Marine on St. Croix","OZONE","PPB",52,"Minnesota Pollution Control Agency",48,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460930001","Black Hawk","OZONE","PPB",52,"South Dakota",48,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380130004","Lostwood NWR","OZONE","PPB",51,"North Dakota Health",47,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191370002","Viking Lake State Pa","OZONE","PPB",51,"Iowa DNR",47,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270052013","Detroit Lakes","OZONE","PPB",51,"Minnesota Pollution Control Agency",47,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381050003","Williston","OZONE","PPB",50,"North Dakota Health",46,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550630012","LACROSSE DOT","PM25","UG/M3",11,"Wisconsin DNR",46,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191032001","Iowa City, Hoover Sc","PM25","UG/M3",11.1,"Iowa DNR",46,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270495302","Stanton","OZONE","PPB",50,"Minnesota Pollution Control Agency",46,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460990008","Sioux Falls","OZONE","PPB",50,"South Dakota",46,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551250001","TROUT LAKE","PM25","UG/M3",10.7,"Wisconsin DNR",45,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","190850007","Pisgah, Forestry Off","OZONE","PPB",49,"Iowa DNR",45,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191471002","Emmetsburg, ILCC","OZONE","PPB",49,"Iowa DNR",45,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271453052","St. Cloud","OZONE","PPB",49,"Minnesota Pollution Control Agency",45,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271713201","St. Michael","OZONE","PPB",49,"Minnesota Pollution Control Agency",45,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380150003","Bismarck Residential","OZONE","PPB",47,"North Dakota Health",44,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380530002","TRNP-NU","OZONE","PPB",48,"North Dakota Health",44,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380570004","Beulah North","OZONE","PPB",47,"North Dakota Health",44,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380650002","Hannover","OZONE","PPB",47,"North Dakota Health",44,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","380070002","Theodore Roosevelt N","OZONE","PPB",48,"North Dakota Health",44,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550350014","Eau Claire","OZONE","PPB",48,"Wisconsin DNR",44,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550730012","LAKE DUBAY","OZONE","PPB",47,"Wisconsin DNR",44,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551199991","Perkinstown","OZONE","PPB",47,"EPA Office of Atmospheric Programs",44,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551250001","TROUT LAKE","OZONE","PPB",47,"Wisconsin DNR",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191530030","CARPENTER","OZONE","PPB",47,"Polk Co. Air Quality Division",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191531579","SHELDAHL","OZONE","PPB",48,"Polk Co. Air Quality Division",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031001","East Bethel","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031002","Blaine","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270353204","Brainerd","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271095008","Rochester","OZONE","PPB",47,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271390505","Shakopee","OZONE","PPB",48,"Minnesota Pollution Control Agency",44,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380570004","Beulah North","PM25","UG/M3",10.4,"North Dakota Health",43,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550270001","Horicon Wildlife Are","OZONE","PPB",46,"Wisconsin DNR",43,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550410007","POTAWATOMI ","OZONE","PPB",46,"Wisconsin DNR",43,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","190170011","Waverly, Airport","OZONE","PPB",46,"Iowa DNR",43,"2019-03-20 17:22:34",NA
